SIRA;MALZEME;MALZEME RUS€A;DEPO;B˜R˜M;M˜KTAR;B˜R˜M F˜YAT;
1;A€IK A¦IZ ANAHTAR TAKIMI; ????? ??????? ?????? (????????);ELEKTR˜K;Adet;0;;
2;ALYAN ANAHTAR TAKIMI; ????? ???????????? ?????? (Allen);ELEKTR˜K;Adet;0;;
3;BARA Ež POTANS˜YAL; ???? ??????????? ???????????;ELEKTR˜K;Adet;0;;
4;BUAT SIVA šSTš 110X110; ????????? ????????????????? ??????? 110x110;ELEKTR˜K;Adet;0;;
5;€ANTA KAYNAK MAK˜NASI 220V; ????????? ??????? ? ???????? 220?;ELEKTR˜K;Adet;0;;
6;F˜ž TR˜FAZE 5X32A; ????? ?????????? 5x32A;ELEKTR˜K;Adet;0;;
7;GALVEN˜Z žER˜T PAR€ASI 40X3; ???????????? ?????? 40x3;ELEKTR˜K;Adet;0;;
8;IZOLE BANT; ???????????? ?????;ELEKTR˜K;Adet;0;;
9;JENERAT™R 500KVA (DOOSAN); ????????? 500 ??? (DOOSAN);ELEKTR˜K;Adet;0;;
10;KABLO PABUCU (ALšM˜NYUM) 120mm; ??????????? ????????? ?????????? 120??;ELEKTR˜K;Adet;0;;
11;KABLO PABUCU (ALšM˜NYUM) 2400mm; ??????????? ????????? ?????????? 2400??;ELEKTR˜K;Adet;0;;
12;KABLO PABUCU (ALšM˜NYUM) 25mm; ??????????? ????????? ?????????? 25??;ELEKTR˜K;Adet;0;;
13;KABLO PABUCU (ALšM˜NYUM) 35mm; ??????????? ????????? ?????????? 35??;ELEKTR˜K;Adet;0;;
14;KABLO PABUCU (ALšM˜NYUM) 50mm; ??????????? ????????? ?????????? 50??;ELEKTR˜K;Adet;0;;
15;KABLO PABUCU (ALšM˜NYUM) 70mm; ??????????? ????????? ?????????? 70??;ELEKTR˜K;Adet;0;;
16;KABLO PABUCU (ALšM˜NYUM) 95mm; ??????????? ????????? ?????????? 95??;ELEKTR˜K;Adet;0;;
17;KANCA; ????;ELEKTR˜K;Adet;0;;
18;KANGAL BORU 20; ????? ? ????? 20;ELEKTR˜K;Metre;0;;
19;KANGAL BORU 25; ????? ? ????? 25;ELEKTR˜K;Metre;0;;
20;KANGAL BORU 50; ????? ? ????? 50;ELEKTR˜K;Metre;0;;
21;KAPAKLI KROžE 20; ????? ? ??????? 20;ELEKTR˜K;Adet;0;;
22;KAPAKLI KROžE 25; ????? ? ??????? 25;ELEKTR˜K;Adet;0;;
23;KOMB˜NASYON KUTUSU 2X; ??????????????? ?????? 2X;ELEKTR˜K;Adet;0;;
24;LED AMPUL 30W; ???????????? ????? 30??;ELEKTR˜K;Adet;0;;
25;LED PANEL SIVA ALTI 48W; ???????????? ???????????? ?????? 48??;ELEKTR˜K;Adet;0;;
26;LOKMA TAKIMI; ????? ???????? ??????? (????? ????????????);ELEKTR˜K;Adet;0;;
27;MATKAP SDS PLUS; ?????????? SDS-Plus;ELEKTR˜K;Adet;0;;
28;MULT˜METRE; ??????????;ELEKTR˜K;Adet;0;;
29;OTOMAT S˜GORTA 3X125A; ?????????????? ??????????? 3P 125?;ELEKTR˜K;Adet;0;;
30;OTOMAT˜K S˜GORTA 1X16A; ?????????????? ??????????? 1P 16?;ELEKTR˜K;Adet;0;;
31;OTOMAT˜K S˜GORTA 1X25A; ?????????????? ??????????? 1P 25?;ELEKTR˜K;Adet;0;;
32;OTOMAT˜K S˜GORTA 1X32A; ?????????????? ??????????? 1P 32?;ELEKTR˜K;Adet;0;;
33;OTOMAT˜K S˜GORTA 3X100A; ?????????????? ??????????? 3P 100?;ELEKTR˜K;Adet;0;;
34;OTOMAT˜K S˜GORTA 3X32A; ?????????????? ??????????? 3P 32?;ELEKTR˜K;Adet;0;;
35;OTOMAT˜K S˜GORTA 3X40A; ?????????????? ??????????? 3P 40?;ELEKTR˜K;Adet;0;;
36;OTOMAT˜K S˜GORTA 3X63A; ?????????????? ??????????? 3P 63?;ELEKTR˜K;Adet;0;;
37;OTOMAT˜K TRANSFER ANAHTARI (KONTROL™RLš) 250A; ?????????????? ???? ??????? (? ????????????) 250?;ELEKTR˜K;Adet;0;;
38;PANO RAYI; DIN-????? ??? ?????;ELEKTR˜K;Adet;0;;
39;PANO SIVA šSTš 12 L˜; ????????? ??? ?? 12 ???????;ELEKTR˜K;Adet;0;;
40;PR˜Z TR˜FAZE 5X32A; ??????? ?????????? 5x32A;ELEKTR˜K;Adet;0;;
41;S˜GORTA KUTUSU SIVA šSTš 8X; ????????? ????? ?? 8 ???????;ELEKTR˜K;Adet;0;;
42;SP˜RAL BORU 20; ????????????? ????? 20;ELEKTR˜K;Metre;0;;
43;SP˜RAL BORU 25; ????????????? ????? 25;ELEKTR˜K;Metre;0;;
44;SP˜RAL BORU 32; ????????????? ????? 32;ELEKTR˜K;Metre;0;;
45;TAžLAMA KABLOLU (AVU€ ˜€˜ 125); ??????? ???????????? ?????? ????????? (125, ??????);ELEKTR˜K;Adet;0;;
46;TERMOSTAT˜K žALTER 1X32A; ???????????????? ??????????? 1P 32?;ELEKTR˜K;Adet;0;;
47;VVG BAKIR KABLO 3X2.5; ?????? ?????? ??? 3x2,5;ELEKTR˜K;Metre;0;;
48;VVG BAKIR KABLO 5X2.5; ?????? ?????? ??? 5x2,5;ELEKTR˜K;Metre;0;;
49;VVG BAKIR KABLO 5X4; ?????? ?????? ??? 5x4;ELEKTR˜K;Metre;0;;
50;WAGO KLEMENS TIRNAKSIZ 2X; ?????? WAGO ??? ?????? 2x;ELEKTR˜K;Adet;0;;
51;WAGO KLEMENS TIRNAKSIZ 3X; ?????? WAGO ??? ?????? 3x;ELEKTR˜K;Adet;0;;
52;WAGO KLEMENS TIRNAKSIZ 5X; ?????? WAGO ??? ?????? 5x;ELEKTR˜K;Adet;0;;
53;YATAK YORGAN YASTIK; ???????? ?????????? ??????????????? (???????-??????-???????);ELEKTR˜K;Adet;25;;
54;AYAKKABI KIžLIK ˜ž€˜; ??????? ?????? ???????;ELEKTR˜K;Adet;0;;
55;MONT STAFF ; ?????? STAFF;ELEKTR˜K;Adet;0;;
56;MONT ˜ž€˜; ??????? ??????;ELEKTR˜K;Adet;35;;
57;AYAKKABI STAFF; ?????? ??????? STAFF;ELEKTR˜K;Adet;0;;
58;ALšM˜NYUM MERD˜VEN 10 BASAMAKLI; ??????????? ???????? 10 ????????;˜NSAAT;Adet;0;;
59;ALšM˜NYUM MERD˜VEN 14 BASAMAKLI; ??????????? ???????? 14 ????????;˜NSAAT;Adet;0;;
60;ASMA REZERVUAR PLAST˜K; ????????? ????? ???????????;˜NSAAT;Adet;0;;
61;AYAKKABI KIžLIK ˜ž€˜; ??????? ?????? ???????;˜NSAAT;Adet;15;;
62;AYARLI PENSE; ???????????? ?????????;˜NSAAT;Adet;0;;
63;BAH€E SULAMA HORTUMU 32; ??????? ????? ??? ?????? 32;˜NSAAT;Metre;0;;
64;BEZ SAPAN 6 ton 8 metre; ??????????? ????? 6 ?, 8 ?;˜NSAAT;Adet;2;;
65;BOž €UVAL; ?????? ?????;˜NSAAT;Adet;300;;
66;BULAžIK SšNGER˜; ????? ??? ??????;˜NSAAT;Adet;10;;
67;CAM S˜L; ???????? ??? ????? ??????;˜NSAAT;Adet;10;;
68;CAM S˜LME BEZ˜; ???????? ??? ????? ??????;˜NSAAT;Adet;0;;
69;CAMS˜L; ???????? ??? ????? ??????;˜NSAAT;Adet;0;;
70;€AMAžI DETERJANI; ?????????? ???????;˜NSAAT;Kg;0;;
71;€AMAžIR DETERJANI 3X10kg; ?????????? ??????? 3x10 ??;˜NSAAT;Kg;60;;
72;€AMAžIR MAK˜NASI; ?????????? ??????;˜NSAAT;Adet;0;;
73;€AYKUR S˜YAH €AY 200gr; ?????? ??? €aykur 200 ?;˜NSAAT;Adet;0;;
74;€AYKUR S˜YAH €AY 500gr; ??? €aykur ?????? 500?;˜NSAAT;Adet;0;;
75;€EL˜K KA¦IT KISKACI 19mm; ???????? ????? ??? ?????? 19 ??;˜NSAAT;Adet;0;;
76;€EL˜K KA¦IT KISKACI 25mm; ???????? ????? ??? ?????? 25 ??;˜NSAAT;Adet;0;;
77;€EL˜K KA¦IT KISKACI 32mm; ???????? ????? ??? ?????? 32 ??;˜NSAAT;Adet;0;;
78;€˜FT TARAFLI BANT; ???????????? ?????;˜NSAAT;Adet;0;;
79;€™P POžET˜ (BšYšK); ???????? ????? (???????);˜NSAAT;Adet;25;;
80;€™P POžET˜ (Kš€šK); ???????? ????? (?????);˜NSAAT;Adet;25;;
81;€™P POžET˜ (ORTA BOY); ???????? ????? (???????);˜NSAAT;Adet;0;;
82;€UVAL (BšYšK BOY); ????? (??????? ??????);˜NSAAT;Adet;0;;
83;€UVAL (ORTA BOY); ????? (??????? ??????);˜NSAAT;Adet;0;;
84;"DA˜RE TESTERE 9""/ 230";" ???????? ???? 9"" / 230";˜NSAAT;Adet;0;;
85;"DA˜RE TESTERE 9""/ 230 YEDEK D˜SKLER˜";" ???????? ????? ??? ???????? ???? 9"" / 230";˜NSAAT;Adet;0;;
86;DARKS˜L; Darksil (????????/???????? ?????);˜NSAAT;Adet;0;;
87;DEFTER (A4); ??????? A4;˜NSAAT;Adet;0;;
88;DEFTER (A5 + SPIRALL˜); ??????? A5 ?? ???????;˜NSAAT;Adet;0;;
89;DEKOPAJ BI€A¦I; ?????????? ???????;˜NSAAT;Adet;0;;
90;DELGE€; ???????;˜NSAAT;Adet;0;;
91;DELGE€ (BšYšK BOY); ??????? (???????);˜NSAAT;Adet;0;;
92;DEM˜R E¦ES˜; ????????? ?? ???????;˜NSAAT;Adet;0;;
93;D˜J˜TAL AVOMETRE; ???????? ??????? (??????????);˜NSAAT;Adet;0;;
94;D˜LATASYON BANDI 40cm; ????????????? ????? 40 ??;˜NSAAT;Metre;0;;
95;DOKTOR ELD˜VEN˜; ??????????? ????????;˜NSAAT;Adet;0;;
96;DOMESTOS; Domestos (???????? ????????);˜NSAAT;Adet;20;;
97;DRENAJ LEVHASI (KE€EL˜); ????????? ????? (? ????????);˜NSAAT;Mý;60;;
98;EL FENER˜; ???????;˜NSAAT;Adet;0;;
99;ELEKTROMANYET˜K Gš€ POLES˜ 10A; ???????????????? ??????? ????? 10?;˜NSAAT;Adet;0;;
