NO;MALZEME TANIMI;MİKTAR;BİRİM;PAKET TİPİ;;NET KG;BRÜT KG;GÖNDEREN FİRMA
1;Green Emerald 5*25 cm Bullnose;22,5;M2;1;SANDIK;1050;1076;AKM DOĞALTAŞ SAN.TİC.LTD.ŞTİ
2;ÇARŞAF 260*280 300TC DÜZBEYAZ BEYAZ İP STAFF;53;ADET;2;KOLİ;49,55;51,55;DETAY TEKSTİL VE OTEL MALZ.SAN
3;NEVRESİM 250*240 300 TC DÜZBEYAZ STAFF;53;ADET;4;KOLİ;80,5;84,5;DETAY TEKSTİL VE OTEL MALZ.SAN
4;YASTIK KORUYUCU 50*75 FERMUARLI200TC DÜZ BEYAZ STAFF;88;ADET;6;KOLİ;49,55;49,55;DETAY TEKSTİL VE OTEL MALZ.SAN
5;YASTIK KILIFI 50*75 300 TC DÜZ BEYAZ STAFF;30;ADET;8;KOLİ;80,5;80,5;DETAY TEKSTİL VE OTEL MALZ.SAN
6;YASTIK KILIFI 50*75 300 TC DÜZ BEYAZ STAFF;180;ADET;1;KOLİ;23,5;24,5;DETAY TEKSTİL VE OTEL MALZ.SAN
7;MGNT 100 MAGNET SİSTEMİ PROFİL TR-01 / L : 200 CM;4;ADET;4;KOLİ;14,8;15,8;TAN TORNA AYDINLATMA VE ELEKTRİK
8;MGNT 100 MAGNET SİSTEMİ PROFİL;6;ADET;6;KOLİ;33;34;TAN TORNA AYDINLATMA VE ELEKTRİK
9;MGNT 140 MAGNET SİSTEMİ LİNEER ARMATÜR LL-15 / L: 60 CM;20;ADET;1;KOLİ;22;23;TAN TORNA AYDINLATMA VE ELEKTRİK
10;MGNT 110 MAGNET SİSTEMİ SPOT SP-01;37;ADET;1;KOLİ;20;21;TAN TORNA AYDINLATMA VE ELEKTRİK
11;008 DRİVER 100 W * 24 V DALİ;10;ADET;1;KOLİ;40;41;TAN TORNA AYDINLATMA VE ELEKTRİK
12;039 NEON FLEXİBLE LED L-42 / 18 W /M;200;MT;1;KOLİ;40;41;TAN TORNA AYDINLATMA VE ELEKTRİK
13;70.DTYS6.01.8.ROZ DUVAR TİPİ YER STOPERİ 6SATEN 8CM ROZETLİ;485;ADET;3;KOLİ;50;52;KONDİ MOBİLYA
14;ST.313 P.ÇELİK KLOZET FIRÇASI MONTAJLI;9;ADET;4;KOLİ;2,7;5;SETA ISLAK HACİM
15;STA.17744-08 P.Ç 08 LT. ÇÖP KUTUSU SOFT CLOSE KAPAK;13;ADET;6;KOLİ;27,3;38;SETA ISLAK HACİM
16;A48016 İstanbul Tuvalet kağıtlığı ikili;43;ADET;1;KOLİ;94,6;130;ECZACIBAŞI YAPI GEREÇLERİ
