п/п;фи рма номи;дог;факт
2;Хурмо ;989;996
3;Узум;996;1003
4;Банан;1003;1010
5;Карам;1010;1017
6;YASTIK KILIFI 50*75 300 TC DÜZ BEYAZ STAFF;1017;1024
7;YASTIK KILIFI 50*75 300 TC DÜZ BEYAZ STAFF;1024;1031
8;MGNT 100 MAGNET SİSTEMİ PROFİL TR-01 / L : 200 CM;1031;1038
9;MGNT 100 MAGNET SİSTEMİ PROFİL;1038;1045
10;MGNT 140 MAGNET SİSTEMİ LİNEER ARMATÜR LL-15 / L: 60 CM;1045;1052
11;MGNT 110 MAGNET SİSTEMİ SPOT SP-01;1052;1059
12;008 DRİVER 100 W * 24 V DALİ;1059;1066
13;039 NEON FLEXİBLE LED L-42 / 18 W /M;1066;1073
14;70.DTYS6.01.8.ROZ DUVAR TİPİ YER STOPERİ 6SATEN 8CM ROZETLİ;1073;1080
15;ST.313 P.ÇELİK KLOZET FIRÇASI MONTAJLI;1080;1087
16;STA.17744-08 P.Ç 08 LT. ÇÖP KUTUSU SOFT CLOSE KAPAK;1087;1094
17;A48016 İstanbul Tuvalet kağıtlığı ikili;1095;1102
